"Date","DV","VV","TN","TM","HR","PP","RAD_MEA","SUNSHINE","Nombre_Base"
2006-07-01,3,4.3,21.17,24.9,74,0,22.8,12.6972222222222,"metdata_Santamaria"
2006-08-01,6,3.2,18.17,23.3,82,0.9,22.4,12.555,"metdata_Santamaria"
2006-09-01,2,2.2,16.81,21.4,85,7.6,18.2,12.3075,"metdata_Santamaria"
2006-10-01,3,3.8,18.31,22.6,79,18.1,17.9,12.0355555555556,"metdata_Santamaria"
2006-11-01,6,2.1,19.57,21.8,89,15.2,13.7,11.7680555555556,"metdata_Santamaria"
2006-12-01,3,3.3,19.94,23.6,76,0.1,14.3,11.5819444444444,"metdata_Santamaria"
2007-01-01,3,5.1,18.34,23.3,66,0,21.1,11.5511111111111,"metdata_Santamaria"
2007-02-01,3,3.5,18.91,23.5,68,0,18.8,11.7041666666667,"metdata_Santamaria"
2007-03-01,3,4.6,19.04,24.7,62,0,22.3,11.9347222222222,"metdata_Santamaria"
2007-04-01,3,4.7,19.71,24.9,62,0,23.6,12.22,"metdata_Santamaria"
2007-05-01,3,2.9,18.6,23.4,72,1.6,19.3,12.4797222222222,"metdata_Santamaria"
2007-06-01,6,2.2,18.57,21.6,87,0,16.8,12.6677777777778,"metdata_Santamaria"
2007-07-01,2,2.6,20.68,23.3,80,14,15.6,12.6977777777778,"metdata_Santamaria"
2007-08-01,3,2.9,18.52,22.5,80,3.2,19.3,12.5566666666667,"metdata_Santamaria"
2007-09-01,2,2.7,17.88,21.1,82,14.1,18.8,12.31,"metdata_Santamaria"
2007-10-01,1,1.8,19.87,21.5,88,23.6,14.9,12.0380555555556,"metdata_Santamaria"
2007-11-01,6,1.8,19.04,20.8,90,23.4,12.8,11.7702777777778,"metdata_Santamaria"
2007-12-01,3,5.8,18.41,22.2,61,0,19.9,11.5830555555556,"metdata_Santamaria"
2008-01-01,3,7.5,19.32,23,57,0,19.7,11.5505555555556,"metdata_Santamaria"
2008-02-01,3,6.9,15.65,20.7,61,0,20.4,11.7025,"metdata_Santamaria"
2008-03-01,3,7.8,19.14,22.7,53,0,23.7,11.9413888888889,"metdata_Santamaria"
2008-04-01,3,3.8,16.78,23,60,0,21.7,12.2269444444444,"metdata_Santamaria"
2008-05-01,3,3,17.74,22,73,0.1,17.7,12.4855555555556,"metdata_Santamaria"
2008-06-01,6,1.9,18.31,21.3,88,42.9,14.4,12.6705555555556,"metdata_Santamaria"
2008-08-01,2,3,17.81,22,79,0,16.6,12.5516666666667,"metdata_Santamaria"
2008-09-01,6,2,18.38,21,90,51,13.4,12.3033333333333,"metdata_Santamaria"
2008-10-01,6,2.2,18.28,21.3,89,15.3,16.8,12.0313888888889,"metdata_Santamaria"
2008-11-01,3,2.9,17.75,21.9,80,18.8,10.9,11.7644444444444,"metdata_Santamaria"
2008-12-01,6,2.3,16.42,20.9,88,8.8,16.9,11.58,"metdata_Santamaria"
2009-01-01,3,7.1,18.45,21.7,65,0,20.7,11.5522222222222,"metdata_Santamaria"
2009-02-01,3,6.9,19.48,22.3,52,0,22,11.7077777777778,"metdata_Santamaria"
2009-03-01,3,7,18.68,22.6,57,0,24.2,11.9388888888889,"metdata_Santamaria"
2009-04-01,6,2.9,19.04,23.2,77,0,20.1,12.2244444444444,"metdata_Santamaria"
2009-05-01,3,5.1,19.88,23.4,62,0,15.5,12.4836111111111,"metdata_Santamaria"
2009-06-01,2,2.9,19.51,23,78,0.3,15,12.6697222222222,"metdata_Santamaria"
2009-07-01,6,2.6,18.28,22.4,84,1.3,17.6,12.6966666666667,"metdata_Santamaria"
2009-08-01,3,4,18.45,23.9,77,0,17,12.5533333333333,"metdata_Santamaria"
2009-09-01,3,4.3,19.81,23.3,77,0,18.8,12.3055555555556,"metdata_Santamaria"
2009-10-01,3,2.9,19.88,23.9,77,0,16.9,12.0336111111111,"metdata_Santamaria"
2009-11-01,6,2.5,18.78,21.9,89,NA,19.9,11.7663888888889,"metdata_Santamaria"
2009-12-01,3,4.1,18.88,23,73,0.1,13.5,11.5811111111111,"metdata_Santamaria"
2010-01-01,3,5.9,19.59,23.1,61,0,20.7,11.5516666666667,"metdata_Santamaria"
2010-02-01,3,7.2,21.45,24.5,63,0,22.3,11.7055555555556,"metdata_Santamaria"
2010-03-01,3,4.3,20.68,23.4,76,32.3,16.5,11.9366666666667,"metdata_Santamaria"
2010-04-01,3,6,20.45,24.5,58,0,23.3,12.2222222222222,"metdata_Santamaria"
2010-05-01,6,2.6,18.75,22.7,88,1.4,19.8,12.4813888888889,"metdata_Santamaria"
2010-06-01,2,2.8,NA,23.2,83,1.4,16.2,12.6686111111111,"metdata_Santamaria"
2010-07-01,2,2.7,19.45,22.9,83,0,14.5,12.6975,"metdata_Santamaria"
2010-08-01,6,2.2,18.32,21.5,88,9.5,11.7,12.555,"metdata_Santamaria"
2010-09-01,6,2.2,17.73,21.2,91,16.4,17.9,12.3077777777778,"metdata_Santamaria"
2010-10-01,6,2,18.4,21.7,95,3.9,15.9,12.0361111111111,"metdata_Santamaria"
2010-11-01,6,2.3,19.04,21.4,95,12.2,14.7,11.7686111111111,"metdata_Santamaria"
2010-12-01,3,2.1,19.35,19.5,98,0.1,2.2,11.5819444444444,"metdata_Santamaria"
2011-01-01,3,4.4,19.46,23.3,66,0,19.4,11.5511111111111,"metdata_Santamaria"
2011-02-01,3,5.2,19.34,23.3,65,0,16.2,11.7036111111111,"metdata_Santamaria"
2011-03-01,3,5.5,18.86,21.9,69,7.9,17.7,11.9344444444444,"metdata_Santamaria"
2011-04-01,3,3,16.51,23.5,66,0,22.6,12.2197222222222,"metdata_Santamaria"
2011-05-01,3,3.8,19.13,23.2,62,0,22.3,12.4794444444444,"metdata_Santamaria"
2011-06-01,6,2,19.73,22.1,91,3.7,14.6,12.6677777777778,"metdata_Santamaria"
2011-07-01,6,2.3,18.23,20.9,92,43.5,10.2,12.6980555555556,"metdata_Santamaria"
2011-08-01,3,2,16.49,21.3,90,5.6,17.7,12.5569444444444,"metdata_Santamaria"
2011-09-01,2,2.3,18.35,22.6,86,0,14.3,12.3102777777778,"metdata_Santamaria"
2011-10-01,3,2.8,17.04,21.2,90,NA,16.9,12.0383333333333,"metdata_Santamaria"
2011-11-01,7,1.4,19.03,21,95,9.3,10.6,11.7702777777778,"metdata_Santamaria"
2011-12-01,4,4.6,18.22,20.8,67,0,15.6,11.5830555555556,"metdata_Santamaria"
2012-01-01,4,7.6,19.69,22.9,60,0,19.6,11.5502777777778,"metdata_Santamaria"
2012-02-01,4,7.4,19.44,22.7,53,0,22.5,11.7019444444444,"metdata_Santamaria"
2012-03-01,4,7.8,19.23,22.4,51,0,26.9,11.9411111111111,"metdata_Santamaria"
2012-04-01,3,1.9,18.79,22.9,73,27.8,0,12.2266666666667,"metdata_Santamaria"
2012-06-01,7,2.5,18.75,22.4,82,0.1,18.4,12.6702777777778,"metdata_Santamaria"
2012-07-01,4,3.7,18.14,23.3,72,0,19.9,12.6963888888889,"metdata_Santamaria"
